產業,股票代號,股票名稱,股價,發放頻率,現金股利,股票股利,合計股利,殖利率(%),除息日,發放日
航運業,8367,建新國際,43.45,年,2.80,0.00,2.80,5.89,'25/07/09,'25/07/29
電子通路業,3033,威健,30.35,年,2.08,0.00,2.08,5.89,'25/08/11,'25/09/11
居家生活,3557,嘉威,36.60,年,2.50,0.50,3.00,5.89,'25/06/26,'25/07/31
電機機械,8107,大億金茂,14.20,年,1.00,0.00,1.00,5.88,'25/09/18,'25/10/15
汽車工業,4557,永新-KY,77.50,年,6.50,0.00,6.50,5.88,'25/06/16,'25/07/09
其他電子業,2433,互盛電,47.60,年,3.00,0.00,3.00,5.88,'25/07/03,'25/07/23
食品工業,4207,環泰,18.25,年,1.00,0.00,1.00,5.85,'25/04/07,'25/05/08
造紙工業,6790,永豐實,38.60,年,2.55,0.00,2.55,5.85,'25/07/14,'25/08/15
半導體業,6525,捷敏-KY,74.80,年,4.20,0.00,4.20,5.85,'25/05/27,'25/06/12
半導體業,5236,凌陽創新,111.50,年,7.73,0.27,8.00,5.84,'25/07/03,'25/07/31
航運業,2605,新興,26.60,年,1.30,0.00,1.30,5.84,'25/07/11,'25/08/15
綠能環保,6771,平和環保-創,45.20,半年,3.50,0.00,3.50,5.84,'25/06/26,'25/07/22
文化創意業,5478,智冠,98.20,季,7.50,0.00,7.50,5.84,'25/03/24,'25/04/18
半導體業,6716,應廣,47.05,年,3.38,0.00,3.38,5.83,'25/06/04,'25/06/26
運動休閒,6768,志強-KY,106.00,年,6.17,0.00,6.17,5.83,'25/06/23,'25/07/14
光電業,3051,力特,18.25,年,1.52,0.00,1.52,5.81,'25/08/05,'25/08/29
電腦及週邊設備業,2432,倚天酷碁-創,25.55,年,1.70,0.00,1.70,5.80,'25/07/03,'25/07/29
電子零組件業,6418,詠昇,44.35,年,1.10,0.00,1.10,5.80,'25/06/13,'25/07/04
電子零組件業,6761,穩得,139.50,年,5.63,0.00,5.63,5.80,'25/06/30,'25/07/25
銀行業,2838,聯邦銀,19.30,年,0.35,0.70,1.05,5.80,'25/07/23,'25/08/26
ETF,00915,凱基優選高股息30,22.92,季,1.35,0.00,1.35,5.79,'25/12/16,'26/01/13
電器電纜,1612,宏泰,34.40,年,2.10,0.00,2.10,5.79,'25/07/09,'25/07/31
文化創意業,7584,樂意,41.20,年,4.00,0.00,4.00,5.79,'25/07/11,'25/08/08
電子零組件業,6194,育富,34.00,年,2.10,0.00,2.10,5.78,'25/07/17,'25/08/08
電機機械,1558,伸興,104.00,年,6.00,0.00,6.00,5.77,'25/07/25,'25/08/29
汽車工業,4581,光隆精密-KY,51.20,年,3.20,0.00,3.20,5.77,'25/07/31,'25/08/27
半導體業,6291,沛亨,204.00,年,5.80,0.00,5.80,5.77,'25/04/01,'25/05/02
建材營造業,8424,惠普,73.40,年,4.40,0.00,4.40,5.77,'25/06/13,'25/07/04
電機機械,3426,台興,40.05,年,2.50,0.00,2.50,5.75,'25/07/17,'25/08/15
汽車工業,2248,華勝-KY,48.40,年,2.73,0.00,2.73,5.75,'25/07/17,'25/08/15
通信網路業,4906,正文,27.25,年,1.50,0.00,1.50,5.75,'25/07/03,'25/07/25
光電業,6556,勝品,70.80,年,4.20,0.00,4.20,5.75,'25/07/15,'25/08/11
鋼鐵工業,8349,恒耀,43.10,年,2.00,1.00,3.00,5.74,'25/06/27,'25/07/25
電腦及週邊設備業,3213,茂訊,102.50,年,6.00,0.00,6.00,5.74,'25/06/27,'25/07/25
